 TIME                    	Power                    	Power                    	
  +3.7000000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.7500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.7999999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.8500000000000001E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.8999999999999999E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +3.9500000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.0000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.0499999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.0999999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.1500000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.2000000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.2500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.2999999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.3499999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.4000000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.4500000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.5000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.5499999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.5999999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.6500000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.7000000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.7500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.7999999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.8499999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.9000000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +4.9500000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.0000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.0499999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.0999999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.1500000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.2000000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.2500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
